profile,entry,end,size,name,namespace,memory_block,is_thunk,thunk_target,parameter_count,calling_convention,return_type,caller_count,callers,callee_count,callees,global_ref_count,global_refs,string_count,strings,module,logical_file,owner,original_source,maintained_name,maintained_kind,maintained_confidence,maintained_source_file,maintained_notes,confidence,evidence,status
eur_rev0,0x001008AC,0x001008AF,4,EnHorseGanon_Update,Global,oot3d_text,false,,2,default,void,0,,0,,0,,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnHorseGanon_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnHorseGanon; record(s)=0x005270C4.,certain,manual_symbol:EnHorseGanon_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x001008B0,0x001008B3,4,EnHorseZelda_Update,Global,oot3d_text,false,,2,default,void,0,,0,,0,,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnHorseZelda_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnHorseZelda; record(s)=0x00527340.,certain,manual_symbol:EnHorseZelda_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x001008B4,0x0010104F,1892,FUN_001008b4,Global,oot3d_text,false,,0,unknown,undefined,0,,30,0x0036AE14;0x00374BB8;0x00374BE8;0x0037547C;0x0037571C;0x0037572C;0x0037573C;0x00375750;0x0037577C;0x003757A8;0x003758B0;0x003759D0;0x00375A18;0x00375B70;0x00375BCC;0x00375C08;0x00375C10;0x00375C44;0x00375D3C;0x00375E18;0x00375EB8;0x00375ED8;0x00375F90;0x00375FD0;0x00376168;0x003761F0;0x003762A4;0x0037632C;0x00376340;0x00376864,43,0x00100C30;0x00100C34;0x00100C38;0x00100C3C;0x00100C40;0x00100C44;0x00100C48;0x00100C4C;0x00100C50;0x00100C54;0x00100C58;0x00100C5C;0x00100C60;0x00100C64;0x00101050;0x00101054;0x00101058;0x0010105C;0x00101060;0x00101064;0x00101068;0x0010106C;0x00101070;0x00101074;0x00101078;0x0010107C;0x00101080;0x00101084;0x00101088;0x0010108C;0x00101090;0x00101094;0x00101098;0x001374C0;0x00293058;0x00293080;0x003C6944;0x003D6F18;0x00400000;0x0054AC20;0x0054AC24;0x0058884A;0x00588EFA,0,,engine/actors,src/oot3d/engine/actors/z_actor.cpp,z_actor,,Actor_UpdateDamageMovementAndColliders,function,high,analysis/codebin_decompilation_batch_142.md,Processes the observed damage states movement background checks and attack defense overlap colliders.,certain,manual_symbol:Actor_UpdateDamageMovementAndColliders; confidence:high; source:analysis/codebin_decompilation_batch_142.md,maintained_symbol
eur_rev0,0x0010109C,0x00101693,1468,EnRd_Update,Global,oot3d_text,false,,2,default,void,0,,11,0x00374444;0x00374A58;0x00374AB0;0x00375BCC;0x00375EB8;0x00375ED8;0x00375FD0;0x003762A4;0x0037632C;0x00376340;0x00376864,0,,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnRd_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnRd; record(s)=0x0052E210.,certain,manual_symbol:EnRd_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x001016BC,0x00101C33,1360,EnTp_Update,Global,oot3d_text,false,,2,default,void,0,,11,0x00374280;0x003742C4;0x0037547C;0x003759D0;0x00375BCC;0x00375EB8;0x00375ED8;0x00376168;0x003761F0;0x00376340;0x00376864,19,0x00101A74;0x00101A78;0x00101A7C;0x00101A80;0x00101A84;0x00101A88;0x00101A8C;0x00101A90;0x00101A94;0x00101A98;0x00101C34;0x00101C38;0x00101C3C;0x00101C40;0x00101C44;0x0024DFE4;0x004D9D54;0x0054AC20;0x0054AC24,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnTp_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnTp; record(s)=0x0052FA58.,certain,manual_symbol:EnTp_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x00101C48,0x0010253B,2196,EnZf_Update,Global,oot3d_text,false,,2,default,void,0,,24,0x00284FD0;0x002A71D0;0x002CFCA0;0x0036AE14;0x00373D40;0x00373D98;0x00373FA4;0x003740FC;0x003741E4;0x0037422C;0x00374444;0x00375A18;0x00375B70;0x00375BCC;0x00375C08;0x00375EB8;0x00375ED8;0x00375FD0;0x00376168;0x003761F0;0x003762A4;0x0037632C;0x00376340;0x00376864,37,0x00101FA0;0x00101FA4;0x00101FA8;0x00101FAC;0x00101FB0;0x00101FB4;0x00101FB8;0x00101FBC;0x00101FC0;0x001023B0;0x001023B4;0x001023B8;0x001023BC;0x001023C0;0x001023C4;0x001023C8;0x001023CC;0x001023D0;0x001023D4;0x001023D8;0x001023DC;0x001023E0;0x001023E4;0x001023E8;0x0010253C;0x00102540;0x00102544;0x00102548;0x0010254C;0x0024F670;0x00284FD0;0x0028525C;0x002A7124;0x002A71D0;0x00380604;0x00530698;0x0053069A,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnZf_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnZf; record(s)=0x005308A4.,certain,manual_symbol:EnZf_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x00102550,0x00102947,948,EnDh_Update,Global,oot3d_text,false,,2,default,void,0,,14,0x0024FD4C;0x00373BEC;0x00373D0C;0x00374444;0x00374A58;0x00375BCC;0x00375EB8;0x00375ED8;0x00376168;0x003761F0;0x003762A4;0x0037632C;0x00376340;0x00376864,22,0x00102898;0x0010289C;0x001028A0;0x001028A4;0x001028A8;0x001028AC;0x001028B0;0x001028B4;0x001028B8;0x001028BC;0x001028C0;0x001028C4;0x001028C8;0x001028CC;0x001028D0;0x001028D4;0x001028D8;0x00102948;0x0010294C;0x00102950;0x0024FD4C;0x002857B4,0,,game/actors,src/oot3d/game/actors/En_Dh/z_en_dh.cpp,z_en_dh,,EnDh_Update,function,high,analysis/codebin_decompilation_batch_062.md,Maintained EnDh workflow entrypoint in multi-enemy tranche 062.,certain,manual_symbol:EnDh_Update; confidence:high; source:analysis/codebin_decompilation_batch_062.md,maintained_symbol
eur_rev0,0x00102954,0x00102C83,816,EnVm_Update,Global,oot3d_text,false,,2,default,void,0,,14,0x001ACB6C;0x00285A7C;0x0036AE14;0x0037378C;0x003738A8;0x003738D0;0x00373BC0;0x003759D0;0x00375BCC;0x00375C08;0x00375ED8;0x00376168;0x003762A4;0x0037632C,20,0x00102C84;0x00102C88;0x00102C8C;0x00102C90;0x00102C94;0x00102C98;0x00102C9C;0x00102CA0;0x00102CA4;0x00102CA8;0x00102CAC;0x00102CB0;0x00102CB4;0x00102CB8;0x00102CBC;0x00102CC0;0x00102CC4;0x00102CC8;0x002503E4;0x00285A7C,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnVm_Update,function,high,analysis/codebin_decompilation_batch_162.md,Reviews the complete typed OoT3D ARM callback body from exact ActorInit update slot evidence; bounded owner(s)=EnVm; record(s)=0x0052FF3C.,certain,manual_symbol:EnVm_Update; confidence:high; source:analysis/codebin_decompilation_batch_162.md,maintained_symbol
eur_rev0,0x00102CCC,0x00102E8B,448,FUN_00102ccc,Global,oot3d_text,false,,0,unknown,undefined,0,,4,0x00373500;0x003735AC;0x003735E8;0x003736FC,15,0x00102E8C;0x00102E90;0x00102E94;0x00102E98;0x00102E9C;0x00102EA0;0x00102EA4;0x00102EA8;0x00102EAC;0x00102EB0;0x00102EB4;0x00102EB8;0x00102EBC;0x003B3800;0x00599110,0,,game/actors,src/oot3d/game/actors/native_indirect_ready_broad_roots.cpp,actor,,ActorRoot_Animation_OnFrameImpl_And_Matrix_RotateY_00102CCC,function,high,analysis/codebin_decompilation_batch_152.md,"Executes the complete observed native actor root through `Animation_OnFrameImpl`, `VectorSignedToFloat`, `Matrix_RotateY`, `oot3d_transform_mtx3x4_vec3` and additional maintained calls and preserves its local field and control-flow effects.",certain,manual_symbol:ActorRoot_Animation_OnFrameImpl_And_Matrix_RotateY_00102CCC; confidence:high; source:analysis/codebin_decompilation_batch_152.md,maintained_symbol
eur_rev0,0x00102EC0,0x00102F2B,108,EnFz_AimForFreeze,Global,oot3d_text,false,,2,default,void,0,,2,0x0037327C;0x00375A18,2,0x00102F2C;0x003CED58,0,,game/actors,src/oot3d/game/actors/En_Fz/z_en_fz.cpp,z_en_fz,,EnFz_AimForFreeze,function,high,analysis/codebin_decompilation_batch_061.md,Maintained EnFz workflow entrypoint in multi-enemy tranche 061.,certain,manual_symbol:EnFz_AimForFreeze; confidence:high; source:analysis/codebin_decompilation_batch_061.md,maintained_symbol
eur_rev0,0x00102F30,0x001031D3,676,EnFz_BlowSmokeStationary,Global,oot3d_text,false,,2,default,void,0,,5,0x00373264;0x0037327C;0x003735AC;0x003735E8;0x00375A18,14,0x001031D4;0x001031D8;0x001031DC;0x001031E0;0x001031E4;0x001031E8;0x001031EC;0x001031F0;0x001031F4;0x001031F8;0x001031FC;0x00103200;0x00103204;0x00103208,0,,game/actors,src/oot3d/game/actors/En_Fz/z_en_fz.cpp,z_en_fz,,EnFz_BlowSmokeStationary,function,high,analysis/codebin_decompilation_batch_061.md,Maintained EnFz workflow entrypoint in multi-enemy tranche 061.,certain,manual_symbol:EnFz_BlowSmokeStationary; confidence:high; source:analysis/codebin_decompilation_batch_061.md,maintained_symbol
eur_rev0,0x001032BC,0x0010334B,144,FUN_001032bc,Global,oot3d_text,false,,0,unknown,undefined,0,,3,0x0037322C;0x0037572C;0x00375A18,4,0x0010334C;0x00103350;0x00103354;0x00103358,0,,game/actors,src/oot3d/game/actors/native_indirect_ready_medium_roots.cpp,actor,,ActorRoot_SetScale_And_SetFocus_001032BC,function,high,analysis/codebin_decompilation_batch_149.md,"Executes the complete observed native actor root through `Actor_SetScale`, `Actor_SetFocus`, `Math_SmoothStepToS` and preserves its local field and control-flow effects.",certain,manual_symbol:ActorRoot_SetScale_And_SetFocus_001032BC; confidence:high; source:analysis/codebin_decompilation_batch_149.md,maintained_symbol
eur_rev0,0x001033D4,0x001035CF,508,FUN_001033d4,Global,oot3d_text,false,,0,unknown,undefined,0,,5,0x0037308C;0x003731E0;0x003731E8;0x0037422C;0x0037547C,19,0x001035D0;0x001035D4;0x001035D8;0x001035DC;0x001035E0;0x001035E4;0x001035E8;0x001035EC;0x001035F0;0x001035F4;0x001035F8;0x001035FC;0x00103600;0x00103604;0x00103608;0x005265E8;0x0052662C;0x0054AC20;0x0054AC24,0,,game/actors,src/oot3d/game/actors/native_indirect_ready_broad_roots.cpp,actor,,ActorRoot_SQRT_And_EnHorse_RotateToPoint_001033D4,function,high,analysis/codebin_decompilation_batch_152.md,"Executes the complete observed native actor root through `VectorSignedToFloat`, `SQRT`, `EnHorse_RotateToPoint`, `SkelAnime_SetPlaySpeed` and additional maintained calls and preserves its local field and control-flow effects.",certain,manual_symbol:ActorRoot_SQRT_And_EnHorse_RotateToPoint_001033D4; confidence:high; source:analysis/codebin_decompilation_batch_152.md,maintained_symbol
eur_rev0,0x0010360C,0x00103757,332,FUN_0010360c,Global,oot3d_text,false,,0,unknown,undefined,0,,4,0x0036AE14;0x003731E0;0x0037547C;0x00375C08,11,0x00103758;0x0010375C;0x00103760;0x00103764;0x00103768;0x0010376C;0x00103770;0x00103774;0x005265E8;0x0054AC20;0x0054AC24,0,,game/actors,src/oot3d/game/actors/native_indirect_ready_extended_roots.cpp,actor,,ActorRoot_Audio_PlaySoundGeneral_And_SkelAnime_UpdateNoPlayState_0010360C,function,high,analysis/codebin_decompilation_batch_151.md,"Executes the complete observed native actor root through `Audio_PlaySoundGeneral`, `SkelAnime_UpdateNoPlayState_003731E0`, `Animation_GetLastFrame`, `VectorSignedToFloat` and additional maintained calls and preserves its local field and control-flow effects.",certain,manual_symbol:ActorRoot_Audio_PlaySoundGeneral_And_SkelAnime_UpdateNoPlayState_0010360C; confidence:high; source:analysis/codebin_decompilation_batch_151.md,maintained_symbol
eur_rev0,0x001037DC,0x00103C1F,1092,EnOssan_InitActionFunc,Global,oot3d_text,false,,0,unknown,undefined,0,,10,0x00372B50;0x00372C90;0x00372D4C;0x00372D64;0x00372D94;0x00372F0C;0x00372F38;0x00373074;0x003738D0;0x0037572C,35,0x00103C20;0x00103C24;0x00103C28;0x00103C2C;0x00103C30;0x00103C34;0x00103C38;0x00103C3C;0x00103C40;0x00103C44;0x00103C48;0x00103C4C;0x00103C50;0x00103C54;0x00103C58;0x00103C5C;0x00103C60;0x00103C64;0x00103C68;0x00103C6C;0x00103C70;0x00114BD4;0x002096A0;0x0052D4E4;0x0052D564;0x0052D590;0x0052D592;0x0052D594;0x0052D596;0x0052D598;0x0052D850;0x0052D930;0x0052D95C;0x0052D960;0x0052D964,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnOssan_InitActionFunc,function,high,analysis/codebin_decompilation_batch_160.md,"Reviews the complete observed native `EnOssan_InitActionFunc` body and establishes its public ABI from the OoT3D entry frame, register and stack flow, and maintained callee contracts.",certain,manual_symbol:EnOssan_InitActionFunc; confidence:high; source:analysis/codebin_decompilation_batch_160.md,maintained_symbol
eur_rev0,0x00103C70,0x0010402F,960,EnOssan_MainActionFunc,Global,oot3d_text,false,,0,unknown,undefined,0,,6,0x00372AA8;0x003731E0;0x0037322C;0x0037572C;0x00376340;0x00376864,20,0x00104030;0x00104034;0x00104038;0x0010403C;0x00104040;0x00104044;0x00104048;0x0010404C;0x00104050;0x00104054;0x00104058;0x0010405C;0x00104060;0x00104064;0x00104068;0x0010406C;0x00104070;0x00104074;0x0052D564;0x0052D9E0,0,,game/actors,src/oot3d/game/actors/cluster_001008ac.cpp,cluster_001008ac,,EnOssan_MainActionFunc,function,high,analysis/codebin_decompilation_batch_159.md,"Reviews the complete observed native `EnOssan_MainActionFunc` body and establishes its public ABI from the OoT3D entry frame, register and stack flow, and maintained callee contracts.",certain,manual_symbol:EnOssan_MainActionFunc; confidence:high; source:analysis/codebin_decompilation_batch_159.md,maintained_symbol
eur_rev0,0x00104078,0x0010410F,152,FUN_00104078,Global,oot3d_text,false,,0,unknown,undefined,0,,1,0x003759D0,3,0x00104110;0x00104114;0x00114BA4,0,,runtime,src/oot3d/runtime/native_indirect_ready_medium_roots.cpp,runtime,,RuntimeRoot_Rand_ZeroOne_00104078,function,high,analysis/codebin_decompilation_batch_149.md,Executes the complete observed native runtime root through `Rand_ZeroOne` and preserves its local field and control-flow effects.,certain,manual_symbol:RuntimeRoot_Rand_ZeroOne_00104078; confidence:high; source:analysis/codebin_decompilation_batch_149.md,maintained_symbol
eur_rev0,0x00104118,0x0010418F,120,FUN_00104118,Global,oot3d_text,false,,0,unknown,undefined,0,,1,0x003759D0,3,0x00104190;0x00104194;0x00114BD4,0,,runtime,src/oot3d/runtime/native_indirect_ready_small_roots.cpp,runtime,,RuntimeRoot_Rand_ZeroOne_00104118,function,high,analysis/codebin_decompilation_batch_148.md,Executes the complete observed native runtime root through `Rand_ZeroOne` and preserves its local field and control-flow effects.,certain,manual_symbol:RuntimeRoot_Rand_ZeroOne_00104118; confidence:high; source:analysis/codebin_decompilation_batch_148.md,maintained_symbol
eur_rev0,0x00104218,0x00104373,348,FUN_00104218,Global,oot3d_text,false,,0,unknown,undefined,0,,6,0x0036AE14;0x003729B8;0x00372A60;0x003735AC;0x003735E8;0x003738D0,9,0x00104374;0x00104378;0x0010437C;0x00104380;0x00104384;0x00104388;0x0010438C;0x00104390;0x00104394,0,,game/actors,src/oot3d/game/actors/native_indirect_ready_extended_roots.cpp,actor,,ActorRoot_Animation_GetLastFrame_And_Matrix_RotateY_00104218,function,high,analysis/codebin_decompilation_batch_151.md,"Executes the complete observed native actor root through `Animation_GetLastFrame`, `VectorSignedToFloat`, `FUN_00372a60`, `FUN_003729b8` and additional maintained calls and preserves its local field and control-flow effects.",certain,manual_symbol:ActorRoot_Animation_GetLastFrame_And_Matrix_RotateY_00104218; confidence:high; source:analysis/codebin_decompilation_batch_151.md,maintained_symbol
eur_rev0,0x00104398,0x001043E3,76,EnDoor_OverrideLimbDraw,Global,oot3d_text,false,,4,default,int,0,,1,0x0037266C,5,0x001043E4;0x001043E8;0x004D9466;0x004D946B;0x004D946C,0,,game/actors,src/oot3d/game/actors/En_Door/z_en_door.cpp,z_en_door,,EnDoor_OverrideLimbDraw,function,high,analysis/codebin_decompilation_batch_072.md,Native body reconciled with its actor state machine.,certain,manual_symbol:EnDoor_OverrideLimbDraw; confidence:high; source:analysis/codebin_decompilation_batch_072.md,maintained_symbol
eur_rev0,0x001043EC,0x00104463,120,FUN_001043ec,Global,oot3d_text,false,,0,unknown,undefined,0,,4,0x00346964;0x003724DC;0x003725E0;0x003769D8,6,0x00104464;0x00104468;0x0010446C;0x00104470;0x001A3638;0x003AF83C,0,,ui/runtime,src/oot3d/ui/runtime/native_indirect_ready_small_roots.cpp,ui,,UiRoot_Message_GetState_And_Message_ShouldAdvance_001043EC,function,high,analysis/codebin_decompilation_batch_148.md,"Executes the complete observed native ui root through `Message_GetState`, `Message_ShouldAdvance`, `MessageContext_ResetDisplay`, `GiveItem` and preserves its local field and control-flow effects.",certain,manual_symbol:UiRoot_Message_GetState_And_Message_ShouldAdvance_001043EC; confidence:high; source:analysis/codebin_decompilation_batch_148.md,maintained_symbol
eur_rev0,0x00104594,0x0010463F,172,FUN_00104594,Global,oot3d_text,false,,0,unknown,undefined,0,,2,0x00374428;0x00375BCC,3,0x00104640;0x00104644;0x001C429C,0,,game/actors,src/oot3d/game/actors/native_indirect_ready_medium_roots.cpp,actor,,ActorRoot_Audio_PlayActorSound2_And_Kill_00104594,function,high,analysis/codebin_decompilation_batch_149.md,"Executes the complete observed native actor root through `Audio_PlayActorSound2`, `Actor_Kill` and preserves its local field and control-flow effects.",certain,manual_symbol:ActorRoot_Audio_PlayActorSound2_And_Kill_00104594; confidence:high; source:analysis/codebin_decompilation_batch_149.md,maintained_symbol
eur_rev0,0x00104648,0x00104703,188,FUN_00104648,Global,oot3d_text,false,,0,unknown,undefined,0,,3,0x0036AE14;0x00375BCC;0x00375C08,8,0x00104704;0x00104708;0x0010470C;0x00104710;0x00104714;0x00104718;0x0010471C;0x0013336C,0,,game/actors,src/oot3d/game/actors/native_indirect_ready_medium_roots.cpp,actor,,ActorRoot_Audio_PlayActorSound2_And_Animation_GetLastFrame_00104648,function,high,analysis/codebin_decompilation_batch_149.md,"Executes the complete observed native actor root through `Audio_PlayActorSound2`, `Animation_GetLastFrame`, `VectorSignedToFloat`, `Animation_Change_00375c08` and preserves its local field and control-flow effects.",certain,manual_symbol:ActorRoot_Audio_PlayActorSound2_And_Animation_GetLastFrame_00104648; confidence:high; source:analysis/codebin_decompilation_batch_149.md,maintained_symbol
eur_rev0,0x00104720,0x00104847,296,EnFu_HandleSongPlayback,Global,oot3d_text,false,,2,default,void,0,,4,0x00372244;0x0037573C;0x00375750;0x00376A78,11,0x00104848;0x0010484C;0x00104850;0x00104854;0x00104858;0x0010485C;0x00104860;0x001172D4;0x001426F8;0x00588850;0x00588EFA,0,,game/actors,src/oot3d/game/actors/En_Fu/z_en_fu.cpp,z_en_fu,,EnFu_HandleSongPlayback,function,high,analysis/codebin_decompilation_batch_074.md,Native body reconciled with its actor state machine.,certain,manual_symbol:EnFu_HandleSongPlayback; confidence:high; source:analysis/codebin_decompilation_batch_074.md,maintained_symbol
eur_rev0,0x00104864,0x00104867,4,EnMu_PostLimbDraw,Global,oot3d_text,false,,4,default,void,0,,0,,0,,0,,game/actors,src/oot3d/game/actors/enmu_postlimbdraw.cpp,EnMu_PostLimbDraw,,EnMu_PostLimbDraw,function,high,analysis/codebin_decompilation_batch_033.md,Literal-backed SkelAnime after-limb callback used by EnMu; pointer cell(s) 0x001B7ED0.,certain,manual_symbol:EnMu_PostLimbDraw; confidence:high; source:analysis/codebin_decompilation_batch_033.md,maintained_symbol
eur_rev0,0x00104868,0x001048A7,64,EnTg_PostLimbDraw,Global,oot3d_text,false,,4,default,void,0,,1,0x003735AC,1,0x001048AC,0,,game/actors,src/oot3d/game/actors/entg_postlimbdraw.cpp,EnTg_PostLimbDraw,,EnTg_PostLimbDraw,function,high,analysis/codebin_decompilation_batch_033.md,Literal-backed SkelAnime after-limb callback used by EnTg; pointer cell(s) 0x001BBB1C.,certain,manual_symbol:EnTg_PostLimbDraw; confidence:high; source:analysis/codebin_decompilation_batch_033.md,maintained_symbol
eur_rev0,0x001048FC,0x00104943,72,ItemEtcetera_DrawThroughLens,Global,oot3d_text,false,,0,unknown,undefined,0,,2,0x00372170;0x003721E0,1,0x00104944,0,,game/actors,src/oot3d/game/actors/itemetcetera_drawthroughlens.cpp,ItemEtcetera_DrawThroughLens,,ItemEtcetera_DrawThroughLens,function,high,analysis/codebin_decompilation_batch_156.md,"Reviews the complete observed native `ItemEtcetera_DrawThroughLens` body and establishes its public ABI from the OoT3D entry frame, register and stack flow, and maintained callee contracts.",certain,manual_symbol:ItemEtcetera_DrawThroughLens; confidence:high; source:analysis/codebin_decompilation_batch_156.md,maintained_symbol
