oot3d_entry,oot3d_name,n64_source,n64_name,port_file,status,notes
003a5e24,oot3d_boss_va_setup_zapper_damaged,src/overlays/actors/ovl_Boss_Va/z_boss_va.c,BossVa_SetupZapperDamaged,src/overlays/actors/ovl_Boss_Va/z_boss_va_setup_zapper_damaged.c,matched-c,Setup helper for the damaged state recovered from N64 BossVa_SetupZapperDamaged; compiled source is exact for the animation selection/filter/action install helper.
0032eeb4,oot3d_player_process_scene_collision,src/overlays/actors/ovl_player_actor/z_player.c,Player_ProcessSceneCollision,src/overlays/actors/ovl_player_actor/z_player_collision.c,structured-port-started,First direct import-test lane promoted from the N64 decompilation. The source ports Player_ProcessSceneCollision to OOT3D field offsets recovered from 0032eeb4 and is intended for iterative compiler matching.
002d0320,oot3d_message_start_textbox,src/code/z_message.c,Message_StartTextbox,src/code/z_message_start.c,matched-c,Small direct N64 message-start port. The source keeps the Message_StartTextbox control flow and adapts it to OOT3D message context offsets and callee signatures; compiled C is exact with the local O1 codegen profile.
00343868,oot3d_message_textbox_init,src/code/z_message.c,Message_Update,src/code/z_message_textbox_init.c,matched-c,Message_Update split lane. OOT3D wrapper sets textbox-start state and falls through to the common message textbox setup recovered from the N64 Message_Update start path; compiled source is exact.
003438a4,oot3d_message_textbox_common,src/code/z_message.c,Message_Update,src/code/z_message_textbox.c,structured-port-started,"Message_Update split lane common body. Structured source keeps the N64 textbox-start state flow while adapting OOT3D global pointers, offsets, and callee signatures."
00250ad0,oot3d_player_action_turn_in_place,src/overlays/actors/ovl_player_actor/z_player.c,Player_Action_TurnInPlace,src/n64_large_direct_exact.c,exact-seed-started,Large direct N64 queue batch. Exact seed is generated from the OOT3D target while the N64 Player_Action_TurnInPlace source is extracted for high-level reconstruction.
001a4340,oot3d_boss_mo_tentacle,src/overlays/actors/ovl_Boss_Mo/z_boss_mo.c,BossMo_Tentacle,src/n64_large_direct_exact.c,exact-seed-started,Large direct N64 queue batch. Exact seed is generated from the OOT3D target while the N64 BossMo_Tentacle source is extracted for high-level reconstruction.
001abddc,oot3d_player_draw_impl_001abddc,src/code/z_player_lib.c,Player_DrawImpl,src/n64_large_direct_exact.c,target-split-exact-seed,Large direct N64 queue batch. The oot3d_before_public linker map and refreshed Ghidra boundaries split the old wide seed at 001ac538/001acac4/001acb6c. This first target slice remains exact while high-level C reconstruction from Player_DrawImpl is pending.
001ac538,FUN_001ac538,src/code/z_player_lib.c,Player_DrawImpl,src/n64_large_direct_exact.c,target-split-exact-seed,Target split recovered from the previous 001abddc Player_DrawImpl exact lane after applying oot3d_before_public linker symbols. Exact seed is generated from the OOT3D target while the N64 lane is used for high-level reconstruction.
001acac4,FUN_001acac4,src/code/z_player_lib.c,Player_DrawImpl,src/n64_large_direct_exact.c,target-split-exact-seed,Target split recovered from the previous 001abddc Player_DrawImpl exact lane after applying oot3d_before_public linker symbols. Exact seed is generated from the OOT3D target while the N64 lane is used for high-level reconstruction.
001acb6c,FUN_001acb6c,src/code/z_player_lib.c,Player_DrawImpl,src/n64_large_direct_exact.c,target-split-exact-seed,Target split recovered from the previous 001abddc Player_DrawImpl exact lane after applying oot3d_before_public linker symbols. Exact seed is generated from the OOT3D target while the N64 lane is used for high-level reconstruction.
001d27b0,oot3d_player_update_melee_weapon_info,src/code/z_player_lib.c,Player_UpdateMeleeWeaponInfo,src/n64_target_split_exact.c,target-split-exact-seed,Target split exact seed generated from the OOT3D function recovered by the direct split workflow. N64 helper source is src/code/z_player_lib.c::Player_UpdateMeleeWeaponInfo; matched assembly is now in the baseline while high-level C reconstruction remains pending.
0014a5a8,oot3d_player_draw_impl_0014a5a8,src/code/z_player_lib.c,Player_DrawImpl,src/n64_large_direct_exact.c,exact-seed-started,Large direct N64 queue batch. Exact seed is generated from the OOT3D target while the N64 Player_DrawImpl source is extracted for high-level reconstruction of this OOT3D variant.
00473ef8,oot3d_player_action_swing_bottle,src/overlays/actors/ovl_player_actor/z_player.c,Player_Action_SwingBottle,src/n64_large_direct_exact.c,exact-seed-started,Large direct N64 queue batch. Exact seed is generated from the OOT3D target while the N64 Player_Action_SwingBottle source is extracted for high-level reconstruction.
0042d0e4,oot3d_kaleido_draw_ui_overlay_split_0042d0e4,src/overlays/misc/ovl_kaleido_scope/z_kaleido_scope.c,KaleidoScope_DrawUIOverlay,src/n64_split_kaleido_ui_overlay_exact.c,exact-seed-started,Split/subsystem N64 queue batch. Exact seed is generated from the OOT3D target while the N64 KaleidoScope_DrawUIOverlay source is extracted to recover the split helper role.
002ef9b4,oot3d_kaleido_draw_ui_overlay_split_002ef9b4,src/overlays/misc/ovl_kaleido_scope/z_kaleido_scope.c,KaleidoScope_DrawUIOverlay,src/n64_split_kaleido_ui_overlay_exact.c,exact-seed-started,Split/subsystem N64 queue batch. Exact seed is generated from the OOT3D target while the N64 KaleidoScope_DrawUIOverlay source is extracted to recover the split helper role.
00446b10,oot3d_kaleido_draw_ui_overlay_split_00446b10,src/overlays/misc/ovl_kaleido_scope/z_kaleido_scope.c,KaleidoScope_DrawUIOverlay,src/n64_split_kaleido_ui_overlay_exact.c,exact-seed-started,Split/subsystem N64 queue batch. Exact seed is generated from the OOT3D target while the N64 KaleidoScope_DrawUIOverlay source is extracted to recover the split helper role.
00442654,oot3d_kaleido_draw_ui_overlay_split_00442654,src/overlays/misc/ovl_kaleido_scope/z_kaleido_scope.c,KaleidoScope_DrawUIOverlay,src/n64_split_kaleido_ui_overlay_exact.c,exact-seed-started,Split/subsystem N64 queue batch. Exact seed is generated from the OOT3D target while the N64 KaleidoScope_DrawUIOverlay source is extracted to recover the split helper role.
002efd88,oot3d_kaleido_draw_ui_overlay_split_002efd88,src/overlays/misc/ovl_kaleido_scope/z_kaleido_scope.c,KaleidoScope_DrawUIOverlay,src/n64_split_kaleido_ui_overlay_exact.c,exact-seed-started,Split/subsystem N64 queue batch. Exact seed is generated from the OOT3D target while the N64 KaleidoScope_DrawUIOverlay source is extracted to recover the split helper role.
